signal_date,chosen_symbol,chosen_name,chosen_bucket,chosen_theme,selected_momentum,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
2015-01-30,CASH,空仓,cash,现金,0.0,,,,,最佳行业/主题 ETF 动量为负或不可用，防守资产也无正动量，空仓
2015-02-27,CASH,空仓,cash,现金,0.0,,,,,最佳行业/主题 ETF 动量为负或不可用，防守资产也无正动量，空仓
2015-03-31,CASH,空仓,cash,现金,0.0,,,,,最佳行业/主题 ETF 动量为负或不可用，防守资产也无正动量，空仓
2015-04-30,CASH,空仓,cash,现金,0.0,,,,,最佳行业/主题 ETF 动量为负或不可用，防守资产也无正动量，空仓
2015-05-29,CASH,空仓,cash,现金,0.0,,,,,最佳行业/主题 ETF 动量为负或不可用，防守资产也无正动量，空仓
2015-06-30,CASH,空仓,cash,现金,0.0,,,,,最佳行业/主题 ETF 动量为负或不可用，防守资产也无正动量，空仓
2015-07-31,159928,消费ETF汇添富,sector,消费,0.20066889632107032,159928,0.20066889632107032,511010,0.023104636591478656,最佳行业/主题 ETF 动量为正，持有该 ETF
2015-08-31,159928,消费ETF汇添富,sector,消费,0.0969899665551841,159928,0.0969899665551841,511010,0.023441075932725042,最佳行业/主题 ETF 动量为正，持有该 ETF
2015-09-30,511010,国债ETF国泰,defensive,国债,0.03595738384137315,512010,-0.09030100334448155,511010,0.03595738384137315,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
2015-10-30,511010,国债ETF国泰,defensive,国债,0.03063880202769642,512010,-0.09467455621301779,511010,0.03063880202769642,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
2015-11-30,511010,国债ETF国泰,defensive,国债,0.024811782693684892,512010,-0.21705426356589153,511010,0.024811782693684892,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
2015-12-31,512010,医药ETF易方达,sector,医药,0.0641025641025641,512010,0.0641025641025641,511010,0.0478616266108689,最佳行业/主题 ETF 动量为正，持有该 ETF
2016-01-29,511010,国债ETF国泰,defensive,国债,0.02592340767838497,512010,-0.120253164556962,511010,0.02592340767838497,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
2016-02-29,511010,国债ETF国泰,defensive,国债,0.03595648284419828,512010,-0.18125000000000002,511010,0.03595648284419828,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
2016-03-31,159928,消费ETF汇添富,sector,消费,0.025236593059936974,159928,0.025236593059936974,511010,0.03942501600894599,最佳行业/主题 ETF 动量为正，持有该 ETF
2016-04-29,511010,国债ETF国泰,defensive,国债,0.017320624635033033,159928,-0.030303030303030276,511010,0.017320624635033033,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
2016-05-31,511010,国债ETF国泰,defensive,国债,0.024792370995388113,159928,-0.05714285714285705,511010,0.024792370995388113,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
