window_label,lookback_days,signal_date,chosen_symbol,chosen_name,chosen_bucket,chosen_theme,selected_momentum,best_sector_symbol,best_sector_momentum,best_defensive_symbol,best_defensive_momentum,reason
mom_1m,21,2015-01-30,CASH,空仓,cash,现金,0.0,,,,,行业和防守资产均无正动量，空仓
mom_1m,21,2015-02-27,159928,消费ETF汇添富,sector,消费,0.016891891891891886,159928,0.016891891891891886,511010,0.0106505045750096,最佳行业/主题 ETF 动量为正，持有该 ETF
mom_1m,21,2015-03-31,159928,消费ETF汇添富,sector,消费,0.14569536423841045,159928,0.14569536423841045,511010,-0.01324819187976356,最佳行业/主题 ETF 动量为正，持有该 ETF
mom_1m,21,2015-04-30,159928,消费ETF汇添富,sector,消费,0.1618497109826591,159928,0.1618497109826591,511010,0.021544835750221925,最佳行业/主题 ETF 动量为正，持有该 ETF
mom_1m,21,2015-05-29,512010,医药ETF易方达,sector,医药,0.13134328358208958,512010,0.13134328358208958,511010,-0.007619194956634323,最佳行业/主题 ETF 动量为正，持有该 ETF
mom_1m,21,2015-06-30,CASH,空仓,cash,现金,0.0,159928,-0.05324074074074081,511010,-0.004121401081502385,行业和防守资产均无正动量，空仓
mom_1m,21,2015-07-31,511010,国债ETF国泰,defensive,国债,0.023074588583120503,512010,-0.0388059701492538,511010,0.023074588583120503,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
mom_1m,21,2015-08-31,511010,国债ETF国泰,defensive,国债,0.005607440863507618,159928,-0.08635097493036203,511010,0.005607440863507618,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
mom_1m,21,2015-09-30,511010,国债ETF国泰,defensive,国债,0.0015163653009842015,512010,-0.05226480836236924,511010,0.0015163653009842015,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
mom_1m,21,2015-10-30,512010,医药ETF易方达,sector,医药,0.08896797153024893,512010,0.08896797153024893,511010,0.014239432716291356,最佳行业/主题 ETF 动量为正，持有该 ETF
mom_1m,21,2015-11-30,CASH,空仓,cash,现金,0.0,159928,0.0,511010,-0.0021389064251995382,行业和防守资产均无正动量，空仓
mom_1m,21,2015-12-31,159928,消费ETF汇添富,sector,消费,0.058479532163742576,159928,0.058479532163742576,511010,0.011753710207318413,最佳行业/主题 ETF 动量为正，持有该 ETF
mom_1m,21,2016-01-29,CASH,空仓,cash,现金,0.0,512010,-0.16766467065868262,511010,-0.001500591848337729,行业和防守资产均无正动量，空仓
mom_1m,21,2016-02-29,511010,国债ETF国泰,defensive,国债,0.0024293532894001935,159928,-0.03947368421052633,511010,0.0024293532894001935,最佳行业/主题 ETF 动量为负或不可用，切换到正动量防守资产
mom_1m,21,2016-03-31,159928,消费ETF汇添富,sector,消费,0.07973421926910307,159928,0.07973421926910307,511010,0.007970786141954234,最佳行业/主题 ETF 动量为正，持有该 ETF
